Video Title,Video URL,views,likes,comments
The Ethical Development of AI Everywhere | Technically Speaking (S1 E1) | Intel,https://www.youtube.com/watch?v=ESDLB475JTU,651,31,0
AI and Sustainable Farming | Technically Speaking (S1 E2) | Intel,https://www.youtube.com/watch?v=VdRHn8xbEcQ,491,28,0
Promoting Inclusivity with AI | Technically Speaking (S1 E3) | Intel,https://www.youtube.com/watch?v=ru4rq71AMxI,360,18,0
Machine Learning meets Human Well-being | Technically Speaking (S1 E4) | Intel,https://www.youtube.com/watch?v=D2HVmcMuCYo,454,30,0
Supporting the Future of Transportation with AI | Technically Speaking (S1 E5) | Intel,https://www.youtube.com/watch?v=7T0T954ub0s,552,29,0
