Video Title,Video URL,views,likes,comments
Nicolas Ghesquière: Shaping Fashion | Episode 2: Jennifer Connelly | LOUIS VUITTON,https://www.youtube.com/watch?v=lsJRtQuqfGM,362000,355,20
Women’s Fall-Winter 2024 Campaign I LOUIS VUITTON,https://www.youtube.com/watch?v=ScCsC0iCV9Q,133000,4900,11
Olympic Games Paris 2024 Opening Ceremony | LOUIS VUITTON,https://www.youtube.com/watch?v=Fp3znVcNSo4,112000,1400,80
A legendary history | LOUIS VUITTON,https://www.youtube.com/watch?v=qS9nPlhdz78,10000,372,15
"Louis Vuitton [Extended]— Ep15 — Antoine Dupont on the World of Rugby, His Family Roots, and Fashion",https://www.youtube.com/watch?v=GAzf4FFnqWc,6300,144,4
