Video Title,Video URL,views,likes,comments
The Best,https://www.youtube.com/watch?v=SHwigGAOynY,2400,65,0
How to Return to Home (Clock View) When Playing Audio on Echo Spot,https://www.youtube.com/watch?v=NUZUaGBAZuM,493,8,0
Meet the German facilities team bringing Amazon's corporate building accessibility vision to life,https://www.youtube.com/watch?v=maRR0oC6FdA,507,26,0
Meet Amazon Germany's People with Disability (PwD) Affinity Group,https://www.youtube.com/watch?v=tXye9nXtKig,287,26,0
Alexa on Tablet,https://www.youtube.com/watch?v=GwsP9bQQ6qY,1400,24,0
