Video Title,Video URL,views,likes,comments
The Next Big Thing Is You | Samsung,https://www.youtube.com/watch?v=Atf0i86p9B0,29000000,2200,216
Introducing Galaxy Z Fold6 and Z Flip6 | Samsung,https://www.youtube.com/watch?v=_Cf_Thff044,30000000,15000,0
Galaxy Z Fold6: Circle to Search | Samsung,https://www.youtube.com/watch?v=ULZH-hId6RY,30000000,2100,213
Galaxy Z Flip6: FlexCam | Samsung,https://www.youtube.com/watch?v=umVQuWEppgc,30000000,1100,62
Galaxy Z Fold6: Performance | Samsung,https://www.youtube.com/watch?v=1ccq1lZtYrU,20000000,1200,119
