Video Title,Video URL,views,likes,comments
Google Keynote (Google I/O ‘24),https://www.youtube.com/watch?v=XEzRZ35urlk,2000000,0,0
Google I/O 2024: Opening Film,https://www.youtube.com/watch?v=mQ8k4T5wVgE,85000,818,0
How developers are using Gemini 1.5 Pro’s 1 million token context window,https://www.youtube.com/watch?v=cogrixfRvWw,83000,761,0
Project Astra: Our vision for the future of AI assistants,https://www.youtube.com/watch?v=nXVvvRhiGjI,729000,13000,0
"Filmmaking with Donald Glover and his creative studio, Gilga | Veo",https://www.youtube.com/watch?v=dKAVFLB75xs,115000,2000,0
