Video Title,Video URL,views,likes,comments
The Race to WcDonald’s | WcDonald’s Short Ep. 1,https://www.youtube.com/watch?v=-6APZr00v0s,218000,0,537
From The Makers of...,https://www.youtube.com/watch?v=DEKckUd310o,154000,0,375
"Official WcDonald's AMV w/ Studio Pierrot & official track ""WANT U LUV IT"" by Reol",https://www.youtube.com/watch?v=fsg_1h4xP64,203000,12000,402
The Wisdom of The Sauce | WcDonald’s Short Ep. 4 (English Sub),https://www.youtube.com/watch?v=IznFXi5qae0,41000,1200,80
The Wisdom of the Sauce | WcDonald’s Short Ep. 4,https://www.youtube.com/watch?v=G6lKTEoIKy8,97000,0,235
