Video Title,Video URL,views,likes,comments
Becky G Takes on Anything with Facebook Groups,https://www.youtube.com/watch?v=PokmahZMzRw,54000,286,96
Becky G Takes on Anything with Facebook Groups,https://www.youtube.com/watch?v=k-z2AzIQlNY,32000,150,55
Facebook Groups: Not Wasting My Twenties,https://www.youtube.com/watch?v=PgGAZOIHxTs,71000,277,256
Facebook Groups: Outdoorsy Gals,https://www.youtube.com/watch?v=4ujiM-a5I28,371000,373,31
"Facebook Groups: screw it, let's talk astrology",https://www.youtube.com/watch?v=xIimTjUQRjs,28000,151,121
