Video Title,Video URL,views,likes,comments
The BMW Vision Neue Klasse X.,https://www.youtube.com/watch?v=ElNd8SyvurU,105000,0,287
THE NEW MATERIALS - BMW Vision Neue Klasse X.,https://www.youtube.com/watch?v=CcwIrPD20Zw,27000,749,37
THE NEW PERSPECTIVE - BMW Vision Neue Klasse X.,https://www.youtube.com/watch?v=F8BWmtOF3fw,14000,650,17
THE NEW ELECTRIC - BMW Vision Neue Klasse X.,https://www.youtube.com/watch?v=FKlwGmibtsI,12000,725,15
THE NEW FRIENDS - BMW Vision Neue Klasse X.,https://www.youtube.com/watch?v=dkGa-A9h4g4,19000,763,35
