Video Title,Video URL,views,likes,comments
Cisco Newsroom,https://www.youtube.com/watch?v=zArbGsegoQY&list=PL4390734A79A6E610&pp=iAQB,487,19,0
Cisco CX: Customer Experience,https://www.youtube.com/watch?v=6RjEcxMLoq0&list=PLFT-9JpKjRTDtRPjwm1sIvtG-oDBSCFKy&pp=iAQB,2500,15,0
Corporate Social Responsibility,https://www.youtube.com/watch?v=Kfn3pnddl9g&list=PLE26FB7E4EE7B806E&pp=iAQB,754,14,1
Cisco Live US,https://www.youtube.com/watch?v=ywslfS-9L-c&list=PLFT-9JpKjRTCaLoXNNVIP4FgeQwmsFhWT&pp=iAQB,7000,53,1
Partners,https://www.youtube.com/watch?v=n3lOP65bsEs&list=PLF390A3A7152E5BF4&pp=iAQB,410,5,0
