Video Title,Video URL,views,likes,comments
Privacy on iPhone | Flock | Apple,https://www.youtube.com/watch?v=0HjDpPnxcP0,17468530,30000,0
Personal Voice on iPhone | The Lost Voice | Apple,https://www.youtube.com/watch?v=ra9I0HScTDw,18000000,16000,0
The Greatest | Apple,https://www.youtube.com/watch?v=8sX9IEHWRJ8,18000000,35000,0
Celebrating Steve | October 5 | Apple,https://www.youtube.com/watch?v=CeSAjK2CBEA,6100000,274000,0
Every product carbon neutral by 2030 | Apple,https://www.youtube.com/watch?v=66XwG1CLHuU,3100000,129000,0
