Video Title,Video URL,views,likes,comments
Gwen Stefani x Anderson .Paak – Hello World (Song of The Olympics™) Official Video,https://www.youtube.com/watch?v=tvuCsOTQUeE,3700000,22000,1800
Coca-Cola | It's Magic When the World Comes Together | Paris 2024 | Global  | 1m45,https://www.youtube.com/watch?v=GRqNd2FQpYM,24000,319,19
Coca-Cola FanFeat – Junte seus ídolos no hit do ano,https://www.youtube.com/watch?v=e2uBMW2vChs,59000000,32000,5900
Janhvi Kapoor is ready to feel the #RealMagic with Coca-Cola!,https://www.youtube.com/watch?v=X0OYOMmVQ3Q,45000000,8500,276
A year to share,https://www.youtube.com/watch?v=yl2yYgYXabQ,43000000,3300,0
